model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_seconds
RandomForest,0.9983090405100198,0.8127767575398013,0.8689276973902811,0.8127767575398013,0.833045273098664,0.9982592099734248,257.9195279379999
LogisticRegression,0.8427030858833143,0.8528058788731888,0.3741141777658959,0.8528058788731888,0.4497527100938295,0.8884437411500781,701.5398644219999
DummyMajority,0.8030032194173019,0.06666666666666667,0.05353354796115346,0.06666666666666667,0.05938264267598428,0.7152667986948398,0.02106142800005273
